product_id,product_name,product_features,discount(%),price(INR),rating
91,Xiaomi Mobile Model 91,"50MP Camera, 6000mAh Battery, 5G",7,135580,4.4
92,Xiaomi Laptop Model 92,"Ryzen 5, 32GB RAM, 1TB SSD",17,143504,4.0
93,Asus Smartwatch Model 93,"SpO2, AMOLED Display",35,79008,3.2
94,Sony Smartwatch Model 94,"GPS, AMOLED Display",24,56037,3.5
95,Xiaomi Mobile Model 95,"64MP Camera, 5000mAh Battery, 5G",14,69940,4.9
96,Samsung Laptop Model 96,"i7, 32GB RAM, 512GB SSD",15,119971,3.4
97,OnePlus Smartwatch Model 97,"SpO2, LCD Display",7,85548,3.8
98,Lenovo Mobile Model 98,"50MP Camera, 4000mAh Battery, 5G",35,41950,3.8
99,Dell Mobile Model 99,"108MP Camera, 5000mAh Battery, 5G",17,44929,4.0
100,HP Laptop Model 100,"Ryzen 7, 8GB RAM, 512GB SSD",21,33145,3.1
101,Apple Mobile Model 101,"64MP Camera, 4000mAh Battery, 5G",24,94575,4.0
102,Lenovo Smartwatch Model 102,"GPS, AMOLED Display",14,71171,3.1
103,Sony Laptop Model 103,"i7, 32GB RAM, 256GB SSD",20,6522,4.2
104,OnePlus Mobile Model 104,"50MP Camera, 5000mAh Battery, 5G",16,40090,4.7
105,HP Laptop Model 105,"Ryzen 5, 32GB RAM, 256GB SSD",6,111345,3.1
106,Dell Mobile Model 106,"50MP Camera, 6000mAh Battery, 5G",36,147915,4.1
107,Sony Mobile Model 107,"50MP Camera, 4000mAh Battery, 5G",9,57863,3.5
108,Asus Laptop Model 108,"i7, 8GB RAM, 512GB SSD",12,23608,3.3
109,Acer Mobile Model 109,"64MP Camera, 5000mAh Battery, 5G",41,54392,4.0
110,Asus Mobile Model 110,"108MP Camera, 5000mAh Battery, 5G",7,52888,3.4
111,OnePlus Laptop Model 111,"i7, 32GB RAM, 256GB SSD",9,28188,4.2
112,Acer Mobile Model 112,"50MP Camera, 4000mAh Battery, 5G",39,14667,3.2
113,Samsung Smartwatch Model 113,"GPS, AMOLED Display",39,78027,4.2
114,Apple Laptop Model 114,"i7, 16GB RAM, 256GB SSD",11,61370,5.0
115,Lenovo Laptop Model 115,"i5, 32GB RAM, 1TB SSD",17,86690,4.1
116,Sony Mobile Model 116,"64MP Camera, 5000mAh Battery, 5G",15,50874,3.5
117,Apple Smartwatch Model 117,"GPS, AMOLED Display",31,23425,4.2
118,Xiaomi Laptop Model 118,"i7, 32GB RAM, 512GB SSD",40,135656,4.8
119,Sony Smartwatch Model 119,"Heart Rate, LCD Display",8,119627,3.3
120,Acer Mobile Model 120,"50MP Camera, 4000mAh Battery, 5G",27,42046,4.8
121,Lenovo Mobile Model 121,"108MP Camera, 6000mAh Battery, 5G",37,65127,3.6
122,Dell Mobile Model 122,"64MP Camera, 5000mAh Battery, 5G",12,46041,4.5
123,Xiaomi Smartwatch Model 123,"GPS, AMOLED Display",16,135184,4.7
124,Sony Mobile Model 124,"108MP Camera, 4000mAh Battery, 5G",44,83749,4.0
125,Dell Smartwatch Model 125,"GPS, LCD Display",49,10083,3.6
126,Dell Mobile Model 126,"108MP Camera, 4000mAh Battery, 5G",39,5265,3.7
127,Lenovo Smartwatch Model 127,"Heart Rate, LCD Display",41,123728,3.2
128,Xiaomi Smartwatch Model 128,"SpO2, AMOLED Display",23,41943,3.7
129,Apple Smartwatch Model 129,"Heart Rate, AMOLED Display",40,76159,4.9
130,Xiaomi Laptop Model 130,"i5, 32GB RAM, 256GB SSD",26,135314,4.4
131,Sony Smartwatch Model 131,"SpO2, AMOLED Display",49,113923,3.6
132,Xiaomi Mobile Model 132,"108MP Camera, 5000mAh Battery, 5G",19,100367,3.5
133,Lenovo Laptop Model 133,"i7, 32GB RAM, 512GB SSD",28,122355,4.4
134,HP Laptop Model 134,"i5, 8GB RAM, 1TB SSD",41,69796,4.2
135,Xiaomi Laptop Model 135,"Ryzen 7, 8GB RAM, 1TB SSD",38,55537,4.4
136,OnePlus Laptop Model 136,"Ryzen 7, 8GB RAM, 1TB SSD",12,16019,4.0
137,Acer Smartwatch Model 137,"GPS, LCD Display",33,130227,4.7
138,OnePlus Laptop Model 138,"i5, 32GB RAM, 512GB SSD",39,109651,3.8
139,HP Smartwatch Model 139,"SpO2, LCD Display",41,128083,3.8
140,Samsung Smartwatch Model 140,"GPS, AMOLED Display",43,138055,3.0
141,Lenovo Laptop Model 141,"Ryzen 7, 16GB RAM, 512GB SSD",24,114199,4.5
142,Sony Mobile Model 142,"64MP Camera, 4000mAh Battery, 5G",24,77848,4.3
143,HP Smartwatch Model 143,"SpO2, AMOLED Display",37,11290,4.6
144,HP Mobile Model 144,"50MP Camera, 5000mAh Battery, 5G",48,50712,3.9
145,HP Laptop Model 145,"i7, 8GB RAM, 256GB SSD",37,62466,4.6
146,Samsung Smartwatch Model 146,"Heart Rate, AMOLED Display",46,47100,4.5
147,Apple Laptop Model 147,"Ryzen 5, 32GB RAM, 256GB SSD",9,25678,5.0
148,HP Laptop Model 148,"i7, 16GB RAM, 256GB SSD",18,31708,3.4
149,Asus Mobile Model 149,"64MP Camera, 6000mAh Battery, 5G",6,41295,3.7
150,Xiaomi Mobile Model 150,"64MP Camera, 4000mAh Battery, 5G",11,12163,3.6
151,Sony Laptop Model 151,"i5, 8GB RAM, 256GB SSD",30,114630,3.7
152,Sony Smartwatch Model 152,"GPS, LCD Display",18,15369,3.2
153,Asus Laptop Model 153,"Ryzen 5, 32GB RAM, 512GB SSD",9,136074,3.6
154,Xiaomi Mobile Model 154,"50MP Camera, 5000mAh Battery, 5G",46,101568,3.6
155,Sony Smartwatch Model 155,"GPS, LCD Display",42,26951,4.5
156,HP Smartwatch Model 156,"Heart Rate, AMOLED Display",10,33875,3.9
157,Asus Smartwatch Model 157,"Heart Rate, LCD Display",33,123411,3.7
158,Samsung Smartwatch Model 158,"Heart Rate, AMOLED Display",5,104837,3.3
159,Xiaomi Smartwatch Model 159,"Heart Rate, LCD Display",7,16076,3.2
160,Xiaomi Laptop Model 160,"Ryzen 7, 16GB RAM, 256GB SSD",28,123308,3.2
161,Asus Mobile Model 161,"64MP Camera, 5000mAh Battery, 5G",6,40888,4.3
162,Sony Laptop Model 162,"i5, 16GB RAM, 256GB SSD",6,37804,3.5
163,Apple Smartwatch Model 163,"GPS, LCD Display",41,97912,4.6
164,Sony Smartwatch Model 164,"GPS, AMOLED Display",9,85137,4.6
165,Asus Laptop Model 165,"i7, 32GB RAM, 1TB SSD",15,100345,3.6
166,Acer Laptop Model 166,"Ryzen 5, 16GB RAM, 512GB SSD",23,17332,4.7
167,Sony Laptop Model 167,"i5, 32GB RAM, 1TB SSD",14,121593,4.5
168,Acer Mobile Model 168,"108MP Camera, 4000mAh Battery, 5G",44,144286,4.3
169,Apple Smartwatch Model 169,"Heart Rate, LCD Display",16,82260,3.6
170,Samsung Mobile Model 170,"108MP Camera, 4000mAh Battery, 5G",5,34008,3.9
171,Xiaomi Smartwatch Model 171,"SpO2, AMOLED Display",25,17091,3.2
172,Sony Laptop Model 172,"Ryzen 5, 8GB RAM, 1TB SSD",43,39355,3.5
173,Asus Smartwatch Model 173,"SpO2, LCD Display",17,11510,3.6
174,HP Laptop Model 174,"Ryzen 7, 16GB RAM, 256GB SSD",17,142839,4.1
175,Acer Mobile Model 175,"50MP Camera, 4000mAh Battery, 5G",13,30191,4.9
176,OnePlus Mobile Model 176,"50MP Camera, 5000mAh Battery, 5G",41,131423,3.4
177,Lenovo Mobile Model 177,"50MP Camera, 5000mAh Battery, 5G",28,13883,4.6
178,Sony Smartwatch Model 178,"GPS, LCD Display",22,138953,4.3
179,Apple Smartwatch Model 179,"GPS, LCD Display",7,121070,3.2
180,Acer Laptop Model 180,"i5, 16GB RAM, 512GB SSD",10,71177,3.9
181,Sony Mobile Model 181,"108MP Camera, 6000mAh Battery, 5G",7,52052,3.2
182,Dell Smartwatch Model 182,"GPS, LCD Display",20,38068,3.8
183,Acer Mobile Model 183,"50MP Camera, 5000mAh Battery, 5G",38,143260,4.1
184,Xiaomi Smartwatch Model 184,"GPS, LCD Display",41,18702,5.0
185,Asus Mobile Model 185,"64MP Camera, 6000mAh Battery, 5G",47,145800,3.1
186,OnePlus Mobile Model 186,"50MP Camera, 4000mAh Battery, 5G",36,69197,3.2
187,Sony Smartwatch Model 187,"GPS, LCD Display",45,120685,3.5
188,HP Mobile Model 188,"64MP Camera, 5000mAh Battery, 5G",33,68419,3.8
189,Lenovo Laptop Model 189,"i7, 32GB RAM, 256GB SSD",12,122742,3.5
190,Lenovo Mobile Model 190,"108MP Camera, 5000mAh Battery, 5G",37,45848,3.7
191,Samsung Laptop Model 191,"Ryzen 7, 16GB RAM, 512GB SSD",35,106334,3.1
192,Samsung Laptop Model 192,"Ryzen 7, 8GB RAM, 256GB SSD",12,101906,4.7
193,OnePlus Laptop Model 193,"i5, 32GB RAM, 256GB SSD",22,26183,4.9
194,Dell Mobile Model 194,"50MP Camera, 4000mAh Battery, 5G",12,146886,4.1
195,Samsung Smartwatch Model 195,"SpO2, AMOLED Display",17,9533,3.5
196,Apple Mobile Model 196,"64MP Camera, 6000mAh Battery, 5G",50,22322,4.3
197,Acer Smartwatch Model 197,"Heart Rate, AMOLED Display",41,38439,4.4
198,Samsung Smartwatch Model 198,"Heart Rate, AMOLED Display",35,39409,4.9
199,HP Mobile Model 199,"64MP Camera, 6000mAh Battery, 5G",33,10373,4.4
200,Samsung Smartwatch Model 200,"Heart Rate, AMOLED Display",5,115212,4.1
201,Asus Mobile Model 201,"50MP Camera, 5000mAh Battery, 5G",50,52291,3.8
202,HP Mobile Model 202,"50MP Camera, 5000mAh Battery, 5G",37,105172,4.6
203,Sony Mobile Model 203,"50MP Camera, 6000mAh Battery, 5G",17,113941,4.1
204,Xiaomi Mobile Model 204,"64MP Camera, 5000mAh Battery, 5G",38,141325,3.1
205,Samsung Laptop Model 205,"Ryzen 7, 8GB RAM, 1TB SSD",37,121559,4.0
206,Sony Laptop Model 206,"Ryzen 5, 32GB RAM, 512GB SSD",15,147705,3.0
207,Dell Laptop Model 207,"Ryzen 5, 32GB RAM, 1TB SSD",22,106532,3.4
208,Lenovo Smartwatch Model 208,"GPS, AMOLED Display",6,106680,4.4
209,Sony Laptop Model 209,"Ryzen 7, 32GB RAM, 256GB SSD",33,126216,4.4
210,Xiaomi Laptop Model 210,"i5, 32GB RAM, 1TB SSD",45,96912,3.3
211,Apple Mobile Model 211,"108MP Camera, 4000mAh Battery, 5G",7,72356,3.5
212,Samsung Mobile Model 212,"50MP Camera, 4000mAh Battery, 5G",39,102526,4.0
213,Apple Mobile Model 213,"50MP Camera, 5000mAh Battery, 5G",24,130440,3.2
214,Samsung Mobile Model 214,"108MP Camera, 5000mAh Battery, 5G",20,90047,3.2
215,Xiaomi Mobile Model 215,"50MP Camera, 5000mAh Battery, 5G",27,51863,3.8
216,Samsung Laptop Model 216,"Ryzen 7, 32GB RAM, 256GB SSD",5,121277,4.6
217,OnePlus Smartwatch Model 217,"GPS, AMOLED Display",5,145276,4.4
218,Acer Laptop Model 218,"i5, 16GB RAM, 256GB SSD",40,105767,4.9
219,Samsung Laptop Model 219,"Ryzen 7, 8GB RAM, 1TB SSD",27,141462,4.7
220,OnePlus Mobile Model 220,"108MP Camera, 4000mAh Battery, 5G",36,86157,3.1
221,Sony Mobile Model 221,"64MP Camera, 6000mAh Battery, 5G",35,129819,3.8
222,Lenovo Mobile Model 222,"64MP Camera, 5000mAh Battery, 5G",41,78786,4.2
223,HP Laptop Model 223,"i5, 32GB RAM, 256GB SSD",38,31447,4.1
224,Dell Mobile Model 224,"108MP Camera, 6000mAh Battery, 5G",27,63934,3.5
225,Sony Mobile Model 225,"64MP Camera, 6000mAh Battery, 5G",25,113101,3.2
226,Asus Mobile Model 226,"108MP Camera, 4000mAh Battery, 5G",21,20232,4.1
227,Apple Smartwatch Model 227,"GPS, AMOLED Display",32,142277,4.2
228,Samsung Smartwatch Model 228,"SpO2, AMOLED Display",36,26436,3.7
229,HP Laptop Model 229,"i5, 32GB RAM, 1TB SSD",40,83268,3.8
230,Xiaomi Mobile Model 230,"50MP Camera, 6000mAh Battery, 5G",47,129778,3.3
231,Dell Laptop Model 231,"Ryzen 5, 8GB RAM, 512GB SSD",5,30137,4.4
232,OnePlus Smartwatch Model 232,"Heart Rate, LCD Display",33,49458,4.0
233,Samsung Laptop Model 233,"i5, 16GB RAM, 1TB SSD",33,134781,3.2
234,Lenovo Smartwatch Model 234,"SpO2, LCD Display",12,98263,4.8
235,Apple Laptop Model 235,"i5, 8GB RAM, 1TB SSD",36,57180,4.4
236,Apple Smartwatch Model 236,"GPS, LCD Display",16,83011,4.5
237,Apple Mobile Model 237,"108MP Camera, 5000mAh Battery, 5G",5,56705,3.9
238,HP Mobile Model 238,"50MP Camera, 4000mAh Battery, 5G",24,134064,3.8
239,OnePlus Mobile Model 239,"108MP Camera, 6000mAh Battery, 5G",12,30041,4.9
240,Asus Laptop Model 240,"Ryzen 5, 8GB RAM, 256GB SSD",32,65864,3.1
241,OnePlus Mobile Model 241,"64MP Camera, 6000mAh Battery, 5G",26,17402,3.9
242,HP Smartwatch Model 242,"Heart Rate, LCD Display",49,17785,5.0
243,Samsung Laptop Model 243,"i7, 8GB RAM, 256GB SSD",45,66575,4.5
244,Acer Smartwatch Model 244,"SpO2, LCD Display",34,105979,3.8
245,Apple Smartwatch Model 245,"GPS, LCD Display",42,127824,4.6
246,Sony Smartwatch Model 246,"Heart Rate, AMOLED Display",27,24121,3.3
247,Xiaomi Laptop Model 247,"i7, 16GB RAM, 1TB SSD",33,126786,3.5
248,Sony Mobile Model 248,"64MP Camera, 6000mAh Battery, 5G",37,149091,3.0
249,Acer Smartwatch Model 249,"GPS, AMOLED Display",6,121169,3.2
250,Dell Smartwatch Model 250,"SpO2, AMOLED Display",11,111520,4.5
251,Samsung Smartwatch Model 251,"SpO2, LCD Display",44,30967,3.3
252,Xiaomi Laptop Model 252,"Ryzen 5, 8GB RAM, 512GB SSD",8,103262,3.0
253,Samsung Mobile Model 253,"64MP Camera, 5000mAh Battery, 5G",15,144340,4.9
254,Lenovo Mobile Model 254,"108MP Camera, 5000mAh Battery, 5G",40,127628,4.1
255,Dell Mobile Model 255,"108MP Camera, 5000mAh Battery, 5G",36,66817,3.4
256,Apple Laptop Model 256,"i7, 32GB RAM, 512GB SSD",33,97169,4.9
257,HP Mobile Model 257,"50MP Camera, 5000mAh Battery, 5G",40,39077,3.1
258,Samsung Mobile Model 258,"50MP Camera, 6000mAh Battery, 5G",30,96944,3.2
259,Sony Laptop Model 259,"Ryzen 7, 32GB RAM, 256GB SSD",25,131525,4.0
260,Dell Laptop Model 260,"Ryzen 7, 8GB RAM, 256GB SSD",22,17172,4.7
261,Acer Mobile Model 261,"64MP Camera, 5000mAh Battery, 5G",25,46336,3.7
262,Asus Smartwatch Model 262,"SpO2, LCD Display",50,83692,4.4
263,Dell Laptop Model 263,"i5, 16GB RAM, 256GB SSD",34,44349,3.1
264,Xiaomi Laptop Model 264,"Ryzen 7, 16GB RAM, 1TB SSD",37,25657,3.8
265,HP Laptop Model 265,"i7, 16GB RAM, 1TB SSD",42,18434,3.4
266,HP Mobile Model 266,"50MP Camera, 6000mAh Battery, 5G",6,140733,4.4
267,Acer Laptop Model 267,"Ryzen 7, 8GB RAM, 512GB SSD",18,143741,4.5
268,Asus Laptop Model 268,"i5, 16GB RAM, 512GB SSD",46,122849,3.8
269,Asus Laptop Model 269,"Ryzen 7, 8GB RAM, 1TB SSD",37,104773,4.4
270,HP Smartwatch Model 270,"SpO2, LCD Display",47,17608,4.5
271,HP Mobile Model 271,"50MP Camera, 4000mAh Battery, 5G",48,36773,3.3
272,Asus Smartwatch Model 272,"Heart Rate, AMOLED Display",49,51629,4.5
273,Apple Mobile Model 273,"108MP Camera, 4000mAh Battery, 5G",46,73903,3.9
274,Sony Smartwatch Model 274,"Heart Rate, LCD Display",29,101568,3.5
275,Asus Smartwatch Model 275,"SpO2, LCD Display",19,94594,3.9
276,Acer Laptop Model 276,"i5, 32GB RAM, 1TB SSD",46,149739,4.7
277,OnePlus Laptop Model 277,"Ryzen 5, 8GB RAM, 512GB SSD",29,132156,3.6
278,Dell Smartwatch Model 278,"Heart Rate, LCD Display",41,86830,4.7
279,Asus Smartwatch Model 279,"SpO2, AMOLED Display",13,67808,3.8
280,Acer Smartwatch Model 280,"Heart Rate, AMOLED Display",40,82897,4.8
281,Apple Laptop Model 281,"Ryzen 7, 8GB RAM, 1TB SSD",6,26936,3.4
282,Acer Smartwatch Model 282,"GPS, LCD Display",45,106199,4.8
283,Acer Smartwatch Model 283,"SpO2, LCD Display",40,92108,4.5
284,Acer Laptop Model 284,"i5, 8GB RAM, 256GB SSD",49,127927,3.3
285,Dell Smartwatch Model 285,"Heart Rate, LCD Display",24,21750,4.9
286,Apple Mobile Model 286,"50MP Camera, 4000mAh Battery, 5G",32,123589,3.5
287,Samsung Smartwatch Model 287,"Heart Rate, LCD Display",48,109615,3.8
288,Dell Laptop Model 288,"Ryzen 5, 32GB RAM, 256GB SSD",47,54989,3.3
289,Dell Mobile Model 289,"50MP Camera, 6000mAh Battery, 5G",48,43864,4.4
290,Samsung Mobile Model 290,"108MP Camera, 5000mAh Battery, 5G",34,139012,4.3
291,Lenovo Smartwatch Model 291,"GPS, AMOLED Display",14,45648,3.2
292,Sony Smartwatch Model 292,"GPS, AMOLED Display",19,11416,3.4
293,Samsung Laptop Model 293,"Ryzen 5, 16GB RAM, 1TB SSD",34,35121,3.9
294,OnePlus Mobile Model 294,"64MP Camera, 6000mAh Battery, 5G",40,43675,4.0
295,Lenovo Laptop Model 295,"i7, 16GB RAM, 512GB SSD",40,107066,4.4
296,Asus Laptop Model 296,"i7, 8GB RAM, 1TB SSD",23,118524,3.6
297,Apple Mobile Model 297,"64MP Camera, 6000mAh Battery, 5G",34,141866,5.0
298,OnePlus Mobile Model 298,"50MP Camera, 5000mAh Battery, 5G",43,97916,3.4
299,Xiaomi Laptop Model 299,"Ryzen 5, 8GB RAM, 512GB SSD",14,130960,4.4
300,Dell Smartwatch Model 300,"GPS, AMOLED Display",28,128478,3.1
301,OnePlus Mobile Model 301,"50MP Camera, 5000mAh Battery, 5G",45,56824,4.6
302,Asus Smartwatch Model 302,"SpO2, LCD Display",35,63924,3.8
303,Lenovo Mobile Model 303,"64MP Camera, 6000mAh Battery, 5G",39,57632,3.4
304,OnePlus Laptop Model 304,"Ryzen 7, 32GB RAM, 256GB SSD",6,42847,4.1
305,Asus Mobile Model 305,"50MP Camera, 4000mAh Battery, 5G",39,68146,4.5
306,Apple Smartwatch Model 306,"SpO2, AMOLED Display",30,48422,4.3
307,Sony Smartwatch Model 307,"Heart Rate, AMOLED Display",8,100134,4.3
308,Lenovo Laptop Model 308,"i7, 16GB RAM, 512GB SSD",19,36391,4.9
309,HP Smartwatch Model 309,"Heart Rate, AMOLED Display",22,19795,3.6
310,OnePlus Mobile Model 310,"108MP Camera, 5000mAh Battery, 5G",5,56522,3.9
311,Lenovo Laptop Model 311,"Ryzen 5, 16GB RAM, 512GB SSD",13,5717,4.6
312,Lenovo Mobile Model 312,"64MP Camera, 6000mAh Battery, 5G",44,38860,3.4
313,Sony Laptop Model 313,"i5, 32GB RAM, 512GB SSD",22,84805,5.0
314,Dell Smartwatch Model 314,"GPS, LCD Display",8,138184,4.4
315,Lenovo Mobile Model 315,"64MP Camera, 6000mAh Battery, 5G",38,30706,3.4
316,Lenovo Mobile Model 316,"64MP Camera, 4000mAh Battery, 5G",40,125388,4.0
317,Lenovo Laptop Model 317,"i7, 8GB RAM, 512GB SSD",6,46503,3.6
318,OnePlus Mobile Model 318,"64MP Camera, 4000mAh Battery, 5G",39,126082,4.8
319,Apple Smartwatch Model 319,"GPS, AMOLED Display",35,10938,3.3
320,Asus Smartwatch Model 320,"GPS, AMOLED Display",8,67270,4.6
